GeneID,dCM-1,dCM-2,dCM-3,HF-1,HF-2,HF-3,HF-4,Normal-1,Normal-2,Normal-3,Normal-4,Normal-5
ENSG00000283029,223,238,0,0,0,0,0,0,0,122,0,0
ENSG00000176868,4,19,339,0,78,262,565,0,0,0,0,0
ENSG00000175206,75443,2464,28577,2550,260353,105855,182237,696,1324,997,110,120
ENSG00000120937,15602,1165,8294,1704,34459,8122,34177,122,42,403,37,23
ENSG00000235160,1,3,3,2,1,0,0,36,46,33,21,29
ENSG00000282917,10,15,17,4,0,12,0,244,178,51,128,91
ENSG00000265527,13,9,56,7,18,51,11,1,2,0,0,0
ENSG00000171885,80,23,37,5,14,11,2,495,102,100,148,258
ENSG00000140465,20,15,12,7,0,117,8,9,272,21,512,3478
ENSG00000261554,8,4,3,3,0,0,0,13,4,3,64,20
ENSG00000196565,9,9,9,72,5,294,31,2,3,3,5,4
ENSG00000101892,32,272,163,181,84,584,93,10,7,15,13,2
ENSG00000275160,13,22,28,2,0,0,0,4,21,14,0,13
ENSG00000214814,2,2,5,7,6,2,2,146,133,67,48,28
ENSG00000138039,3,8,1,93,6,11,3,4,0,0,3,1
ENSG00000073754,6,15,12,2,1,3,1,36,37,18,31,17
ENSG00000164879,200,1567,310,1653,245,536,421,49,29,147,18,22
ENSG00000184544,25,71,8,11,6,0,3,36,9,3,78,186
ENSG00000278910,139,375,267,1070,244,127,543,14,44,99,7,27
ENSG00000261787,13,8,6,4,6,7,2,84,38,37,62,85
ENSG00000147041,55,62,58,95,135,74,209,17,2,17,10,1
ENSG00000100453,58,37,52,28,69,6,67,0,9,3,1,3
ENSG00000169181,267,890,163,309,139,38,166,16,11,29,10,4
ENSG00000183055,10,8,66,3,11,69,52,2,2,8,2,1
ENSG00000026751,69,36,144,29,42,583,20,16,12,8,11,20
ENSG00000073670,137,97,66,66,37,48,26,397,490,338,662,577
ENSG00000120049,1841,792,1088,752,250,637,300,5220,2657,5273,8960,5190
ENSG00000180440,4,5,19,6,2,3,2,38,34,31,32,46
ENSG00000168143,3,5,3,0,7,4,2,37,18,11,64,39
ENSG00000165548,48,27,31,7,7,9,3,189,48,34,22,28
ENSG00000220553,8,59,39,40,86,18,17,13,5,0,1,0
ENSG00000185565,315,188,235,332,216,111,56,999,986,894,2459,2321
ENSG00000143546,311,30,118,44,24,34,79,2,3,4,4,11
ENSG00000198797,4,10,13,12,23,16,22,1,3,3,2,1
ENSG00000164089,58,13,49,62,92,90,16,624,447,424,666,511
ENSG00000253369,10,57,49,15,16,24,8,240,132,152,109,46
ENSG00000156265,212,376,354,886,310,889,407,55,69,113,81,52
ENSG00000154080,163,32,94,5,66,50,18,558,181,53,244,237
ENSG00000196104,5,6,79,3,12,23,9,62,9,273,108,52
ENSG00000189350,42,52,49,30,50,84,42,599,425,144,430,341
ENSG00000157168,53,19,76,11,365,21,74,9,19,20,16,7
ENSG00000274295,11,24,37,7,12,16,9,136,84,108,77,25
ENSG00000142549,14,18,15,16,19,22,77,1,4,11,3,4
ENSG00000124159,3,5,19,2,65,17,12,1,6,4,4,0
ENSG00000116983,12,39,66,18,18,41,21,79,160,245,318,117
ENSG00000124772,25,496,1585,20,97,304,105,753,652,1755,836,855
ENSG00000101144,9,331,113,41,22,50,27,377,368,207,134,165
ENSG00000105374,90,61,132,71,144,9,64,2,18,4,6,17
ENSG00000102109,3,18,12,16,14,31,18,1,1,6,3,3
ENSG00000268894,7,10,15,10,28,11,26,2,3,3,1,4
ENSG00000261340,23,22,46,20,51,74,154,13,13,11,7,11
ENSG00000139289,2540,764,2956,1178,5390,2807,4027,538,640,434,299,454
ENSG00000237984,17,14,21,36,29,17,22,2,5,6,3,3
ENSG00000124935,8,2,1,4,4,4,8,44,38,35,21,30
ENSG00000197616,7761,5892,11105,4131,5189,20012,3885,83841,58571,34473,49664,35563
ENSG00000163235,26,17,21,7,9,12,3,55,26,26,106,24
ENSG00000260484,4,22,20,1,13,11,13,120,67,69,38,12
ENSG00000254017,17,30,10,48,15,6,9,2,7,2,1,3
ENSG00000165731,54,49,37,105,69,21,9,299,422,246,280,275
ENSG00000115163,502,799,662,1266,368,372,294,13,47,199,38,166
ENSG00000115523,134,52,204,56,197,44,70,5,7,14,10,31
ENSG00000150893,8,12,25,27,21,5,4,57,4,119,165,72
ENSG00000154277,223,486,516,237,658,2049,819,64,108,259,216,132
ENSG00000171476,87,110,433,112,50,27,22,215,487,405,114,356
ENSG00000090530,461,461,789,873,488,190,559,56,104,167,63,66
ENSG00000171388,57,70,167,121,79,22,9,307,649,308,185,215
ENSG00000163220,335,30,131,61,29,37,76,3,8,21,7,7
ENSG00000176697,952,1155,423,2663,415,180,422,73,208,218,94,203
ENSG00000167912,5,7,18,5,3,0,1,4,14,12,14,18
ENSG00000272872,12,29,48,12,32,39,36,2,3,13,8,1
ENSG00000139364,35,84,61,15,40,38,14,227,246,79,96,82
ENSG00000128045,257,617,699,306,1155,460,451,126,70,195,70,52
ENSG00000073861,18,22,54,13,43,2,19,0,4,3,3,6
ENSG00000163273,9,3,3,19,3,11,3,29,96,46,50,36
ENSG00000016391,62,113,127,66,54,68,46,365,377,339,300,244
ENSG00000145244,1402,1670,2038,604,927,1438,101,6221,5622,3233,2689,2585
ENSG00000146250,10,71,54,19,83,13,8,6,5,8,3,4
ENSG00000237742,26,25,57,19,15,14,4,53,61,89,69,74
ENSG00000189292,30,150,52,121,39,13,32,2,3,26,6,12
ENSG00000144834,3,9,14,9,41,12,23,4,5,3,3,4
ENSG00000260947,38,22,41,93,63,31,55,14,10,14,11,7
ENSG00000108576,21,14,51,12,179,13,41,5,18,16,8,8
ENSG00000140379,26,5,31,14,12,3,10,1,4,1,1,2
ENSG00000108556,53,12,20,16,133,37,77,7,16,28,9,4
ENSG00000223764,17,32,134,18,79,54,33,4,10,14,10,5
ENSG00000229221,55,62,56,98,89,73,75,9,16,44,8,7
ENSG00000179542,116,412,218,169,136,313,509,17,19,169,55,38
ENSG00000279943,24,14,19,5,21,7,12,31,156,45,24,36
ENSG00000182912,19,16,18,8,22,8,8,103,117,5,18,34
ENSG00000180739,20,44,23,21,28,8,14,3,4,4,3,3
ENSG00000237463,32,7,33,23,106,60,49,11,38,2,5,2
ENSG00000180644,136,72,129,83,153,27,52,9,18,11,7,27
ENSG00000236714,81,101,209,129,87,84,53,432,603,366,369,391
ENSG00000235904,26,15,36,33,42,35,66,8,14,19,5,1
ENSG00000206561,1236,301,520,225,912,548,894,223,187,176,55,28
ENSG00000103184,18,193,75,10,8,4,0,50,21,33,20,6
ENSG00000269964,3,2,11,4,16,6,6,62,34,33,26,27
ENSG00000143494,33,18,22,13,31,11,14,71,163,80,51,41
ENSG00000073737,95,63,139,59,76,235,79,23,46,23,17,11
ENSG00000125675,76,168,190,156,295,271,315,32,22,173,44,26
